2018-07-30 18:21:05.998000

7_1_S5_L8_Ruler_Measure.xef :  [num_images: 1796, video_time: 96.9469998627, FPS: 18]
7_2_S5_L8_Ruler_Delete.xef :  [num_images: 1814, video_time: 97.459999897, FPS: 18]
8_1_S5_L8_PIW_Open.xef :  [num_images: 2454, video_time: 132.30499999, FPS: 18]
8_2_S5_L8_PIW_Close.xef :  [num_images: 1773, video_time: 95.0310000496, FPS: 18]
9_1_S5_L8_ManualContrast_Increase.xef :  [num_images: 1741, video_time: 95.3570001106, FPS: 18]
9_2_S5_L8_ManualContrast_Decrease.xef :  [num_images: 1675, video_time: 91.4499998722, FPS: 18]
10_0_S6_L2_Layout_X.xef :  [num_images: 1844, video_time: 102.734, FPS: 17]
10_1_S6_L2_X_OnePanel.xef :  [num_images: 2008, video_time: 110.668000479, FPS: 18]
10_2_S6_L2_X_TwoPanels.xef :  [num_images: 2406, video_time: 132.794999723, FPS: 18]
10_3_S6_L2_X_ThreePanels.xef :  [num_images: 2536, video_time: 141.286999447, FPS: 17]
10_4_S6_L2_X_FourPanels.xef :  [num_images: 3137, video_time: 172.570000261, FPS: 18]
11_0_S6_L2_ContrastPresets_X.xef :  [num_images: 1022, video_time: 57.019999754, FPS: 17]
1_1_S6_L2_Scroll_Up.xef :  [num_images: 1277, video_time: 70.9790000362, FPS: 17]
1_2_S6_L2_Scroll_Down.xef :  [num_images: 1263, video_time: 71.3570000839, FPS: 17]
2_1_S6_L2_Flip_Horizontal.xef :  [num_images: 2091, video_time: 115.860000307, FPS: 18]
2_2_S6_L2_Flip_Vertical.xef :  [num_images: 1557, video_time: 83.6310002079, FPS: 18]
3_1_S6_L2_Rotate_CW.xef :  [num_images: 1976, video_time: 108.097999979, FPS: 18]
3_2_S6_L2_Rotate_CCW.xef :  [num_images: 1938, video_time: 107.975000124, FPS: 17]
4_1_S6_L2_Zoom_In.xef :  [num_images: 1633, video_time: 90.2679997673, FPS: 18]
4_2_S6_L2_Zoom_Out.xef :  [num_images: 1945, video_time: 107.342999725, FPS: 18]
5_0_S6_L2_SwitchPanel_X.xef :  [num_images: 1490, video_time: 82.2389998245, FPS: 18]
5_1_S6_L2_X_Left.xef :  [num_images: 1248, video_time: 69.832999958, FPS: 17]
5_2_S6_L2_X_Right.xef :  [num_images: 1000, video_time: 55.5149998589, FPS: 18]
5_3_S6_L2_X_Up.xef :  [num_images: 1072, video_time: 58.8599996414, FPS: 18]
5_4_S6_L2_X_Down.xef :  [num_images: 1435, video_time: 79.323000164, FPS: 18]
6_0_S6_L2_Pan_X.xef :  [num_images: 1459, video_time: 80.0530002136, FPS: 18]
6_1_S6_L2_X_Left.xef :  [num_images: 1484, video_time: 82.0300000286, FPS: 18]
6_2_S6_L2_X_Right.xef :  [num_images: 1268, video_time: 70.3019999371, FPS: 18]
6_3_S6_L2_X_Up.xef :  [num_images: 1387, video_time: 76.1660001221, FPS: 18]
6_4_S6_L2_X_Down.xef :  [num_images: 1222, video_time: 67.3330003395, FPS: 18]
7_1_S6_L2_Ruler_Measure.xef :  [num_images: 2772, video_time: 155.08900042, FPS: 17]
7_2_S6_L2_Ruler_Delete.xef :  [num_images: 1750, video_time: 96.2910000896, FPS: 18]
8_1_S6_L2_PIW_Open.xef :  [num_images: 1226, video_time: 68.1039999599, FPS: 18]
8_2_S6_L2_PIW_Close.xef :  [num_images: 1464, video_time: 80.1359999046, FPS: 18]
9_0_S6_L2_ManualContrast_X.xef :  [num_images: 1350, video_time: 74.2380002861, FPS: 18]
9_1_S6_L2_X_Increase.xef :  [num_images: 1209, video_time: 66.6719997063, FPS: 18]
9_2_S6_L2_X_Decrease.xef :  [num_images: 1311, video_time: 72.9110002155, FPS: 17]
10_0_S6_L3_Layout_X.xef :  [num_images: 1603, video_time: 87.788000227, FPS: 18]
10_1_S6_L3_X_OnePanel.xef :  [num_images: 1662, video_time: 91.9469997063, FPS: 18]
